10.000000
-157.000000 54.591872
-156.679411 54.681586
-156.357445 54.769460
-156.038980 54.869310
-155.727957 54.988991
-155.421309 55.119227
-155.118882 55.258749
-154.810105 55.387444
-154.483908 55.476196
-154.150051 55.542516
-153.817147 55.616006
-153.489563 55.709382
-153.164672 55.812550
-152.838522 55.914902
-152.510980 56.016143
-152.188624 56.131596
-151.879436 56.273979
-151.582903 56.437360
-151.296473 56.615129
-151.018267 56.803630
-150.733514 56.985333
-150.436115 57.152047
-150.127535 57.303973
-149.806451 57.436621
-149.473486 57.547831
-149.137976 57.655957
-148.807983 57.778012
-148.493192 57.928308
-148.184856 58.089703
-147.880335 58.257557
-147.583445 58.436123
-147.297819 58.628356
-147.006688 58.815682
-146.707882 58.995479
-146.400234 59.165545
-146.055137 59.275280
-145.688245 59.325743
-145.317348 59.364167
-144.952544 59.434386
-144.618663 59.576375
-144.308299 59.752705
-144.000000 59.932797
15.000000
-144.000000 60.417323
-144.358261 60.291690
-144.701700 60.143891
-145.008134 59.951694
-145.348856 59.823978
-145.732132 59.837550
-146.109645 59.886612
-146.486636 59.927688
-146.859634 59.891207
-147.175000 59.720879
-147.433981 59.491579
-147.722688 59.289621
-147.968150 59.052417
-148.200688 58.805084
-148.471158 58.588433
-148.771050 58.402457
-149.092455 58.246567
-149.441153 58.146531
-149.789598 58.049426
-150.111637 57.899648
-150.430565 57.746325
-150.761524 57.616027
-151.087580 57.480263
-151.356828 57.271947
-151.571722 57.017853
-151.819627 56.789415
-152.118884 56.616244
-152.452125 56.502689
-152.799207 56.430755
-153.146483 56.363584
-153.486694 56.275447
-153.820858 56.172736
-154.162243 56.095936
-154.511446 56.062935
-154.855909 56.008578
-155.180337 55.892794
-155.477486 55.728083
-155.763513 55.548218
-156.062162 55.387681
-156.372840 55.248489
-156.687941 55.119321
-157.000000 54.985539
20.000000
-144.000000 60.741454
-144.416046 60.663003
-144.833782 60.599997
-145.248560 60.535705
-145.653633 60.443444
-146.063576 60.488582
-146.378660 60.711033
-146.775114 60.785722
-147.187986 60.797307
-147.597692 60.771182
-148.001751 60.714812
-148.379800 60.594503
-148.328367 60.327881
-148.013299 60.110355
-148.184804 59.914391
-148.532289 59.742481
-148.712560 59.443969
-149.091511 59.337430
-149.478841 59.256957
-149.807645 59.064822
-150.041600 58.784107
-150.265873 58.497368
-150.535361 58.242702
-150.856184 58.038710
-151.204629 57.873888
-151.545090 57.699026
-151.818305 57.451477
-152.050353 57.172125
-152.371987 56.979606
-152.749001 56.891127
-153.132633 56.832341
-153.510283 56.753569
-153.875470 56.639907
-154.236832 56.519322
-154.607656 56.428527
-154.976268 56.334304
-155.331369 56.206952
-155.670715 56.049553
-156.004543 55.884026
-156.341943 55.726213
-156.678255 55.568032
-157.000000 55.387598
25.000000
-144.000000 60.993224
-144.414162 60.940726
-144.830883 60.938977
-145.241710 60.982902
-145.652077 61.013130
-146.030635 61.140012
-146.397811 61.289744
-146.796704 61.346174
-147.196122 61.290286
-147.591385 61.220810
-147.988064 61.167397
-148.385265 61.126937
-148.778252 61.070797
-149.157352 60.975394
-149.476605 60.780279
-149.745538 60.532677
-150.081461 60.374322
-150.435981 60.254138
-150.499100 59.928970
-150.452215 59.591716
-150.473491 59.252710
-150.570666 58.923609
-150.764720 58.631112
-151.046340 58.397831
-151.393697 58.248544
-151.770159 58.171008
-152.139570 58.075671
-152.360037 57.812641
-152.560856 57.524744
-152.885903 57.351938
-153.256967 57.273324
-153.624144 57.185542
-153.969712 57.046276
-154.299069 56.879145
-154.639168 56.732653
-154.990173 56.610723
-155.338229 56.484348
-155.674398 56.335600
-156.003554 56.175676
-156.337606 56.026075
-156.673263 55.881137
-157.000000 55.721670
30.000000
-144.300000 61.177427
-144.722542 61.168236
-145.137334 61.228813
-145.554411 61.263880
-145.945212 61.375910
-146.318094 61.528579
-146.713723 61.629191
-147.124304 61.641678
-147.530170 61.595284
-147.932843 61.538262
-148.336137 61.559062
-148.736215 61.516324
-149.135226 61.468036
-149.535959 61.452425
-149.911280 61.360984
-149.975302 61.037525
-150.254108 60.822263
-150.637401 60.734051
-151.007489 60.617924
-151.079105 60.303974
-150.952108 59.977779
-150.912919 59.634488
-150.927774 59.289681
-151.034183 58.958340
-151.269076 58.685935
-151.627922 58.550130
-152.001102 58.445278
-152.359812 58.309171
-152.689104 58.126266
-152.945898 57.869083
-153.279701 57.697521
-153.636860 57.566408
-153.983165 57.415780
-154.313487 57.240193
-154.630731 57.046945
-154.963400 56.877936
-155.309379 56.733888
-155.651673 56.584629
-155.983702 56.418640
-156.319492 56.260693
-156.661183 56.115347
-157.000000 55.966171
35.000000
-144.600000 61.356909
-145.009916 61.374658
-145.415786 61.419595
-145.807362 61.510575
-146.177942 61.647587
-146.547878 61.782746
-146.926378 61.896286
-147.308258 61.996530
-147.683982 62.103566
-148.073264 62.157618
-148.467220 62.156403
-148.824635 62.054061
-149.119238 61.832384
-149.477477 61.704466
-149.861449 61.648901
-150.218548 61.520790
-150.361568 61.218636
-150.554891 60.934652
-150.910175 60.809503
-151.232742 60.636147
-151.292659 60.313758
-151.241127 59.980978
-151.269330 59.646130
-151.343726 59.316358
-151.508537 59.018854
-151.824815 58.830801
-152.140877 58.642951
-152.471128 58.476686
-152.807072 58.321231
-153.130364 58.147744
-153.438561 57.954706
-153.763268 57.785639
-154.094080 57.627905
-154.422469 57.467779
-154.730872 57.279333
-155.036180 57.087723
-155.359955 56.924228
-155.689548 56.771907
-156.012178 56.609079
-156.336403 56.450353
-156.668084 56.306632
